"Time","203042","","203042","","203042","","203042","","203042","","203042",""
"and","10.00","","130.00","","136.00","","422.00","","459.00","","700.00",""
"Date","Rainfall (mm)","","Res. Level (m)","","Volume (ML)","","Net Inflow 24h ML","","Storage Rel 24h ML","","Evap.[US] (mm.)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Total","Qual","Total","Qual","Total","Qual"
00:00:00 28/05/2010,"",    255,     129.635,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/05/2010,"",    255,     129.663,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/05/2010,"",    255,     129.675,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 31/05/2010,"",    255,     129.666,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/06/2010,"",    255,     129.661,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/06/2010,"",    255,     129.698,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/06/2010,"",    255,     129.697,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/06/2010,"",    255,     129.682,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/06/2010,"",    255,     129.673,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/06/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/06/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/06/2010,"",    255,     129.668,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/06/2010,"",    255,     129.667,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/06/2010,"",    255,     129.664,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/06/2010,"",    255,     129.664,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/06/2010,"",    255,     129.661,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/06/2010,"",    255,     129.665,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/06/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/06/2010,"",    255,     129.669,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/06/2010,"",    255,     129.662,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 18/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/06/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/06/2010,"",    255,     129.676,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/06/2010,"",    255,     129.728,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/06/2010,"",    255,     129.709,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/06/2010,"",    255,     129.690,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/06/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/06/2010,"",    255,     129.673,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/06/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/06/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2010,"",    255,     129.669,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/07/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/07/2010,"",    255,     129.675,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/07/2010,"",    255,     129.668,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/07/2010,"",    255,     129.664,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 18/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/07/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/07/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/07/2010,"",    255,     129.690,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/07/2010,"",    255,     129.679,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 31/07/2010,"",    255,     129.671,      3,"",    255,"",    255,"",    255,"",    255
